agreement,year,provisionNum,topic,provisionText
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",Whereas Canada recognizes the importance of strengthening its relationships with First Nations
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",Whereas the Parties recognize and respect the solemn and enduring nature of the treaties and the importance to Canada and the First Nations of honouring the treaties
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Whereas the existing aboriginal and treaty rights of the aboriginal peoples of Canada are recognized and affirmed by section 35 of the Constitution Act, 1982"
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Whereas Canada recognizes the inherent right of self-government as an existing aboriginal right within section 35 of the Constitution Act, 1982"
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Whereas Canada's recognition of the inherent right of self-government as an existing aboriginal right within section 35 of the Constitution Act, 1982 is based on the view that the aboriginal peoples of Canada have the right to govern themselves and to make their own decisions in relation to matters that are integral to their unique cultures, identities, traditions, languages and institutions and with respect to their special relationship to their land and their resources"
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",Whereas the Parties acknowledge that an assertion by 1 Party is an expression of that Party's position and does not represent acceptance of that position by the other Parties to the negotiations
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family",Whereas the First Nations were represented by the Union of Ontario Indians in the negotiation of this Agreement
Anishinabek Nation Governance Agreement,2019,0,"Ngo Dwe Waangizid Anishinaabe
      One Anishinaabe Family","Therefore, the First Nations, the Anishinabek Nation and Canada agree as follows:"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,1.1 The following definitions apply in this Agreement:
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Agreement"" means this Anishinabek Nation Governance Agreement"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Anishinaabe Institution"" means a government institution established pursuant to a First Nation law or other authority, or an Anishinabek Nation law or other authority under this Agreement"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Anishinabek Nation"" means the collectivity of First Nations set out in Schedule A of this Agreement"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Anishinabek Nation Education Agreement"" means the education agreement between the First Nations of that agreement and Canada"
